RID,Group,Sex,Batch,Time_seg,Place,Stage,Time
sub-013,Alc,male,B1,212.45,Dark,T2,Test
sub-013,Alc,male,B1,174.03,White,T2,Test
sub-015,Ctrl,male,B1,107.3,Dark,T2,Test
sub-015,Ctrl,male,B1,124.93,White,T2,Test
sub-019,Alc,female,B2,136.43,Dark,T2,Test
sub-019,Alc,female,B2,108.05,White,T2,Test
sub-020,Alc,female,B2,NA,Dark,T2,Test
sub-020,Alc,female,B2,NA,White,T2,Test
sub-021,Ctrl,female,B2,132.07,Dark,T2,Test
sub-021,Ctrl,female,B2,142.77,White,T2,Test
sub-022,Alc,female,B2,NA,Dark,T2,Test
sub-022,Alc,female,B2,NA,White,T2,Test
sub-023,Ctrl,female,B2,139.73,Dark,T2,Test
sub-023,Ctrl,female,B2,150.33,White,T2,Test
sub-024,Alc,female,B2,NA,Dark,T2,Test
sub-024,Alc,female,B2,NA,White,T2,Test
sub-028,Ctrl,male,B2,185.1,Dark,T2,Test
sub-028,Ctrl,male,B2,145.77,White,T2,Test
sub-029,Alc,male,B2,NA,Dark,T2,Test
sub-029,Alc,male,B2,NA,White,T2,Test
sub-030,Alc,male,B2,163.13,Dark,T2,Test
sub-030,Alc,male,B2,143.83,White,T2,Test
sub-031,Ctrl,male,B2,58.65,Dark,T2,Test
sub-031,Ctrl,male,B2,78.4,White,T2,Test
sub-032,Alc,male,B2,59.05,Dark,T2,Test
sub-032,Alc,male,B2,57.02,White,T2,Test
sub-034,Ctrl,female,B3,157.35,Dark,T2,Test
sub-034,Ctrl,female,B3,139.73,White,T2,Test
sub-035,Alc,female,B3,124.38,Dark,T2,Test
sub-035,Alc,female,B3,212.1,White,T2,Test
sub-036,Alc,female,B3,130.57,Dark,T2,Test
sub-036,Alc,female,B3,149.08,White,T2,Test
sub-037,Alc,female,B3,143.6,Dark,T2,Test
sub-037,Alc,female,B3,138.12,White,T2,Test
sub-038,Alc,female,B3,170.58,Dark,T2,Test
sub-038,Alc,female,B3,149.55,White,T2,Test
sub-040,Ctrl,female,B3,200.07,Dark,T2,Test
sub-040,Ctrl,female,B3,108.73,White,T2,Test
sub-041,Alc,male,B3,86.3,Dark,T2,Test
sub-041,Alc,male,B3,105.73,White,T2,Test
sub-042,Alc,male,B3,129.17,Dark,T2,Test
sub-042,Alc,male,B3,121.3,White,T2,Test
sub-043,Alc,male,B3,76.3,Dark,T2,Test
sub-043,Alc,male,B3,59,White,T2,Test
