"RID","Group","Batch","Sex","Stage","bodycentre.center.total.time","bodycentre.open.total.time","bodycentre.closed.total.time"
"sub-001","Ctrl+Stim","B1","female","T1",82.47,141.43,75.23
"sub-002","Alc+Stim","B1","female","T1",96.9,116.17,86.1
"sub-003","Ctrl","B1","female","T1",88.9,148.47,60.97
"sub-004","Alc","B1","female","T1",93.17,142.07,66
"sub-005","Ctrl","B1","female","T1",79.6,144.07,74.83
"sub-006","Alc","B1","female","T1",81.83,147.7,69.23
"sub-007","Alc","B1","female","T1",75.97,145.97,76.37
"sub-008","Alc","B1","female","T1",79.93,148.07,71.47
"sub-009","Alc","B1","male","T1",62.23,75.7,156.8
"sub-012","Alc+Stim","B1","male","T1",72.6,101.03,122.77
"sub-013","Alc","B1","male","T1",76.47,34.57,186.67
"sub-014","Alc","B1","male","T1",104.34,68.09,180.31
"sub-015","Ctrl","B1","male","T1",60.43,65.41,180.51
"sub-016","Ctrl+Stim","B1","male","T1",60.58,57.33,180.37
