RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
33,Alc,female,46,1,1,0.088,EtOH,start,121,122,Model,3
34,Ctrl,female,46,1,1,0.14,EtOH,start,123,122,Model,3
35,Alc,female,46,1,1,0.092,EtOH,start,122,122,Model,3
36,Alc,female,46,1,1,0.131,EtOH,start,122,122,Model,3
37,Alc,female,46,1,1,0.116,EtOH,start,120,122,Model,3
38,Alc,female,46,1,1,0.067,EtOH,start,121,123,Model,3
39,Alc,female,46,1,1,0.078,EtOH,start,120,122,Model,3
40,Ctrl,female,46,1,1,0.164,EtOH,start,122,122,Model,3
41,Alc,male,46,1,1,0.176,EtOH,start,121,122,Model,3
42,Alc,male,46,1,1,0.162,EtOH,start,121,121,Model,3
43,Alc,male,46,1,1,0.204,EtOH,start,120,122,Model,3
44,Ctrl,male,46,1,1,0.166,EtOH,start,123,122,Model,3
45,Alc,male,46,1,1,0.208,EtOH,start,120,122,Model,3
46,Ctrl,male,46,1,1,0.179,EtOH,start,123,122,Model,3
47,Alc,male,46,1,1,0.19,EtOH,start,121,121,Model,3
48,Alc,male,46,1,1,0.208,EtOH,start,120,121,Model,3
49,Ctrl,male,46,1,1,0.132,EtOH,start,122,122,Model,3
50,Alc,male,46,1,1,0.19,EtOH,start,120,123,Model,3
51,Alc,male,46,1,1,0.169,EtOH,start,121,123,Model,3
33,Alc,female,46,1,1,0.088,EtOH,30_mins,120,122,Model,3
34,Ctrl,female,46,1,1,0.14,EtOH,30_mins,123,122,Model,3
35,Alc,female,46,1,1,0.092,EtOH,30_mins,121,122,Model,3
36,Alc,female,46,1,1,0.131,EtOH,30_mins,122,119,Model,3
37,Alc,female,46,1,1,0.116,EtOH,30_mins,119,122,Model,3
38,Alc,female,46,1,1,0.067,EtOH,30_mins,121,122,Model,3
39,Alc,female,46,1,1,0.078,EtOH,30_mins,117,122,Model,3
40,Ctrl,female,46,1,1,0.164,EtOH,30_mins,122,122,Model,3
41,Alc,male,46,1,1,0.176,EtOH,30_mins,121,115,Model,3
42,Alc,male,46,1,1,0.162,EtOH,30_mins,120,121,Model,3
43,Alc,male,46,1,1,0.204,EtOH,30_mins,120,122,Model,3
44,Ctrl,male,46,1,1,0.166,EtOH,30_mins,119,119,Model,3
45,Alc,male,46,1,1,0.208,EtOH,30_mins,119,122,Model,3
46,Ctrl,male,46,1,1,0.179,EtOH,30_mins,123,119,Model,3
47,Alc,male,46,1,1,0.19,EtOH,30_mins,121,121,Model,3
48,Alc,male,46,1,1,0.208,EtOH,30_mins,120,119,Model,3
49,Ctrl,male,46,1,1,0.132,EtOH,30_mins,122,122,Model,3
50,Alc,male,46,1,1,0.19,EtOH,30_mins,120,121,Model,3
51,Alc,male,46,1,1,0.169,EtOH,30_mins,120,120,Model,3
33,Alc,female,46,2,1,0.088,EtOH,24_hrs,120,74,Model,3
34,Ctrl,female,46,2,1,0.14,EtOH,24_hrs,122,104,Model,3
35,Alc,female,46,2,1,0.092,EtOH,24_hrs,115,96,Model,3
36,Alc,female,46,2,1,0.131,EtOH,24_hrs,120,90,Model,3
37,Alc,female,46,2,1,0.116,EtOH,24_hrs,115,99,Model,3
38,Alc,female,46,2,1,0.067,EtOH,24_hrs,118,120,Model,3
39,Alc,female,46,2,1,0.078,EtOH,24_hrs,111,120,Model,3
40,Ctrl,female,46,2,1,0.164,EtOH,24_hrs,120,98,Model,3
41,Alc,male,46,2,1,0.176,EtOH,24_hrs,111,113,Model,3
42,Alc,male,46,2,1,0.162,EtOH,24_hrs,119,93,Model,3
43,Alc,male,46,2,1,0.204,EtOH,24_hrs,118,84,Model,3
44,Ctrl,male,46,2,1,0.166,EtOH,24_hrs,76,118,Model,3
45,Alc,male,46,2,1,0.208,EtOH,24_hrs,119,92,Model,3
46,Ctrl,male,46,2,1,0.179,EtOH,24_hrs,119,84,Model,3
47,Alc,male,46,2,1,0.19,EtOH,24_hrs,119,94,Model,3
