RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
88,Alc,female,46,1,1,0.143,EtOH,start,124,128,Model,6
89,Ctrl,female,46,1,1,0.148,EtOH,start,122,125,Model,6
90,Ctrl,female,46,1,1,0.142,EtOH,start,128,128,Model,6
92,Ctrl,female,46,1,1,0.171,EtOH,start,118,123,Model,6
93,Ctrl,female,46,1,1,0.151,EtOH,start,122,121,Model,6
94,Alc,female,46,1,1,0.177,EtOH,start,123,126,Model,6
97,Alc,female,46,1,1,0.157,EtOH,start,120,122,Model,6
99,Alc,female,46,1,1,0.198,EtOH,start,121,129,Model,6
101,Alc,male,46,1,1,0.236,EtOH,start,122,130,Model,6
102,Ctrl,male,46,1,1,0.162,EtOH,start,124,129,Model,6
103,Alc,male,46,1,1,0.19,EtOH,start,121,127,Model,6
105,Ctrl,male,46,1,1,0.18,EtOH,start,120,127,Model,6
106,Ctrl,male,46,1,1,0.206,EtOH,start,127,126,Model,6
107,Alc,male,46,1,1,0.183,EtOH,start,123,129,Model,6
109,Ctrl,male,46,1,1,0.179,EtOH,start,126,129,Model,6
110,Alc,male,46,1,1,0.185,EtOH,start,120,124,Model,6
88,Alc,female,46,1,1,0.143,EtOH,30_mins,122,119,Model,6
89,Ctrl,female,46,1,1,0.148,EtOH,30_mins,122,115,Model,6
90,Ctrl,female,46,1,1,0.142,EtOH,30_mins,127,126,Model,6
92,Ctrl,female,46,1,1,0.171,EtOH,30_mins,117,120,Model,6
93,Ctrl,female,46,1,1,0.151,EtOH,30_mins,108,119,Model,6
94,Alc,female,46,1,1,0.177,EtOH,30_mins,123,124,Model,6
97,Alc,female,46,1,1,0.157,EtOH,30_mins,120,122,Model,6
99,Alc,female,46,1,1,0.198,EtOH,30_mins,121,127,Model,6
101,Alc,male,46,1,1,0.236,EtOH,30_mins,122,129,Model,6
102,Ctrl,male,46,1,1,0.162,EtOH,30_mins,123,126,Model,6
103,Alc,male,46,1,1,0.19,EtOH,30_mins,119,124,Model,6
105,Ctrl,male,46,1,1,0.18,EtOH,30_mins,120,125,Model,6
106,Ctrl,male,46,1,1,0.206,EtOH,30_mins,126,124,Model,6
107,Alc,male,46,1,1,0.183,EtOH,30_mins,122,128,Model,6
109,Ctrl,male,46,1,1,0.179,EtOH,30_mins,124,127,Model,6
110,Alc,male,46,1,1,0.185,EtOH,30_mins,120,123,Model,6
88,Alc,female,46,1,1,0.143,EtOH,24_hrs,113,110,Model,6
89,Ctrl,female,46,1,1,0.148,EtOH,24_hrs,123,88,Model,6
90,Ctrl,female,46,1,1,0.142,EtOH,24_hrs,127,125,Model,6
92,Ctrl,female,46,1,1,0.171,EtOH,24_hrs,119,59,Model,6
93,Ctrl,female,46,1,1,0.151,EtOH,24_hrs,70,118,Model,6
94,Alc,female,46,1,1,0.177,EtOH,24_hrs,121,92,Model,6
97,Alc,female,46,1,1,0.157,EtOH,24_hrs,67,114,Model,6
99,Alc,female,46,1,1,0.198,EtOH,24_hrs,121,117,Model,6
101,Alc,male,46,1,1,0.236,EtOH,24_hrs,109,115,Model,6
102,Ctrl,male,46,1,1,0.162,EtOH,24_hrs,70,124,Model,6
103,Alc,male,46,1,1,0.19,EtOH,24_hrs,108,61,Model,6
105,Ctrl,male,46,1,1,0.18,EtOH,24_hrs,121,65,Model,6
106,Ctrl,male,46,1,1,0.206,EtOH,24_hrs,85,124,Model,6
107,Alc,male,46,1,1,0.183,EtOH,24_hrs,116,103,Model,6
109,Ctrl,male,46,1,1,0.179,EtOH,24_hrs,94,102,Model,6
110,Alc,male,46,1,1,0.185,EtOH,24_hrs,95,118,Model,6
88,Alc,female,47,2,1,0.157,H2O,start,120,123,Model,6
89,Ctrl,female,47,2,1,0.168,H2O,start,120,119,Model,6
90,Ctrl,female,47,2,1,0.125,H2O,start,122,122,Model,6
92,Ctrl,female,47,2,1,0.176,H2O,start,122,113,Model,6
93,Ctrl,female,47,2,1,0.162,H2O,start,122,123,Model,6
94,Alc,female,47,2,1,0.167,H2O,start,123,122,Model,6
97,Alc,female,47,2,1,0.141,H2O,start,119,124,Model,6
99,Alc,female,47,2,1,0.189,H2O,start,122,123,Model,6
101,Alc,male,47,2,1,0.246,H2O,start,122,122,Model,6
102,Ctrl,male,47,2,1,0.191,H2O,start,123,123,Model,6
103,Alc,male,47,2,1,0.222,H2O,start,122,123,Model,6
105,Ctrl,male,47,2,1,0.221,H2O,start,122,122,Model,6
106,Ctrl,male,47,2,1,0.218,H2O,start,123,123,Model,6
107,Alc,male,47,2,1,0.198,H2O,start,121,123,Model,6
109,Ctrl,male,47,2,1,0.223,H2O,start,121,123,Model,6
110,Alc,male,47,2,1,0.186,H2O,start,120,114,Model,6
88,Alc,female,47,2,1,0.157,H2O,24_hrs,113,122,Model,6
89,Ctrl,female,47,2,1,0.168,H2O,24_hrs,97,120,Model,6
90,Ctrl,female,47,2,1,0.125,H2O,24_hrs,122,54,Model,6
92,Ctrl,female,47,2,1,0.176,H2O,24_hrs,122,111,Model,6
93,Ctrl,female,47,2,1,0.162,H2O,24_hrs,120,87,Model,6
94,Alc,female,47,2,1,0.167,H2O,24_hrs,93,118,Model,6
97,Alc,female,47,2,1,0.141,H2O,24_hrs,120,124,Model,6
99,Alc,female,47,2,1,0.189,H2O,24_hrs,120,81,Model,6
101,Alc,male,47,2,1,0.246,H2O,24_hrs,111,76,Model,6
102,Ctrl,male,47,2,1,0.191,H2O,24_hrs,77,122,Model,6
103,Alc,male,47,2,1,0.222,H2O,24_hrs,120,68,Model,6
105,Ctrl,male,47,2,1,0.221,H2O,24_hrs,115,49,Model,6
106,Ctrl,male,47,2,1,0.218,H2O,24_hrs,79,121,Model,6
107,Alc,male,47,2,1,0.198,H2O,24_hrs,76,122,Model,6
109,Ctrl,male,47,2,1,0.223,H2O,24_hrs,87,81,Model,6
110,Alc,male,47,2,1,0.186,H2O,24_hrs,120,74,Model,6
88,Alc,female,48,3,2,0.15,EtOH,start,123,120,Model,6
89,Ctrl,female,48,3,2,0.171,EtOH,start,123,121,Model,6
90,Ctrl,female,48,3,2,0.16,EtOH,start,123,123,Model,6
92,Ctrl,female,48,3,2,0.183,EtOH,start,116,124,Model,6
93,Ctrl,female,48,3,2,0.169,EtOH,start,124,122,Model,6
94,Alc,female,48,3,2,0.173,EtOH,start,122,122,Model,6
97,Alc,female,48,3,2,0.132,EtOH,start,123,122,Model,6
99,Alc,female,48,3,2,0.197,EtOH,start,121,121,Model,6
101,Alc,male,48,3,2,0.258,EtOH,start,120,122,Model,6
102,Ctrl,male,48,3,2,0.201,EtOH,start,121,120,Model,6
103,Alc,male,48,3,2,0.245,EtOH,start,118,122,Model,6
105,Ctrl,male,48,3,2,0.242,EtOH,start,122,123,Model,6
106,Ctrl,male,48,3,2,0.231,EtOH,start,122,124,Model,6
107,Alc,male,48,3,2,0.204,EtOH,start,121,121,Model,6
109,Ctrl,male,48,3,2,0.237,EtOH,start,122,123,Model,6
110,Alc,male,48,3,2,0.202,EtOH,start,125,122,Model,6
88,Alc,female,48,3,2,0.15,EtOH,30_mins,117,120,Model,6
89,Ctrl,female,48,3,2,0.171,EtOH,30_mins,123,116,Model,6
90,Ctrl,female,48,3,2,0.16,EtOH,30_mins,124,123,Model,6
92,Ctrl,female,48,3,2,0.183,EtOH,30_mins,117,124,Model,6
