Date,RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
22/05/2023,156,Alc+Str,female,46,1,1,0.118,EtOH,start,120,123,Model,8
22/05/2023,157,Alc+Str,female,46,1,1,0.166,EtOH,start,122,125,Model,8
22/05/2023,158,Str,female,46,1,1,0.16,EtOH,start,124,126,Model,8
22/05/2023,159,Alc+Str,female,46,1,1,0.118,EtOH,start,122,125,Model,8
22/05/2023,160,Alc+Str,female,46,1,1,0.121,EtOH,start,120,127,Model,8
22/05/2023,161,Alc+Str,female,46,1,1,0.16,EtOH,start,121,125,Model,8
22/05/2023,162,Alc+Str,female,46,1,1,0.174,EtOH,start,122,126,Model,8
22/05/2023,164,Alc+Str,female,46,1,1,0.167,EtOH,start,120,127,Model,8
22/05/2023,166,Alc+Str,female,46,1,1,0.159,EtOH,start,122,125,Model,8
22/05/2023,167,Alc+Str,female,46,1,1,0.162,EtOH,start,122,127,Model,8
22/05/2023,168,Alc+Str,male,46,1,1,0.224,EtOH,start,122,125,Model,8
22/05/2023,169,Str,male,46,1,1,0.19,EtOH,start,125,125,Model,8
22/05/2023,170,Alc+Str,male,46,1,1,0.217,EtOH,start,120,125,Model,8
22/05/2023,172,Alc+Str,male,46,1,1,0.208,EtOH,start,122,126,Model,8
22/05/2023,173,Alc+Str,male,46,1,1,0.15,EtOH,start,126,124,Model,8
22/05/2023,174,Alc+Str,male,46,1,1,0.201,EtOH,start,120,124,Model,8
22/05/2023,175,Str,male,46,1,1,0.176,EtOH,start,125,124,Model,8
22/05/2023,176,Alc+Str,male,46,1,1,0.182,EtOH,start,123,122,Model,8
22/05/2023,177,Alc+Str,male,46,1,1,0.198,EtOH,start,122,124,Model,8
22/05/2023,156,Alc+Str,female,46,1,1,0.118,EtOH,30_mins,119,120,Model,8
22/05/2023,157,Alc+Str,female,46,1,1,0.166,EtOH,30_mins,122,124,Model,8
22/05/2023,158,Str,female,46,1,1,0.16,EtOH,30_mins,124,126,Model,8
22/05/2023,159,Alc+Str,female,46,1,1,0.118,EtOH,30_mins,120,121,Model,8
22/05/2023,160,Alc+Str,female,46,1,1,0.121,EtOH,30_mins,119,126,Model,8
22/05/2023,161,Alc+Str,female,46,1,1,0.16,EtOH,30_mins,121,124,Model,8
22/05/2023,162,Alc+Str,female,46,1,1,0.174,EtOH,30_mins,120,125,Model,8
22/05/2023,164,Alc+Str,female,46,1,1,0.167,EtOH,30_mins,119,126,Model,8
22/05/2023,166,Alc+Str,female,46,1,1,0.159,EtOH,30_mins,121,126,Model,8
22/05/2023,167,Alc+Str,female,46,1,1,0.162,EtOH,30_mins,121,127,Model,8
22/05/2023,168,Alc+Str,male,46,1,1,0.224,EtOH,30_mins,119,123,Model,8
22/05/2023,169,Str,male,46,1,1,0.19,EtOH,30_mins,125,110,Model,8
22/05/2023,170,Alc+Str,male,46,1,1,0.217,EtOH,30_mins,120,120,Model,8
22/05/2023,172,Alc+Str,male,46,1,1,0.208,EtOH,30_mins,121,125,Model,8
22/05/2023,173,Alc+Str,male,46,1,1,0.15,EtOH,30_mins,125,124,Model,8
22/05/2023,174,Alc+Str,male,46,1,1,0.201,EtOH,30_mins,119,123,Model,8
22/05/2023,175,Str,male,46,1,1,0.176,EtOH,30_mins,121,123,Model,8
22/05/2023,176,Alc+Str,male,46,1,1,0.182,EtOH,30_mins,120,116,Model,8
22/05/2023,177,Alc+Str,male,46,1,1,0.198,EtOH,30_mins,120,121,Model,8
22/05/2023,156,Alc+Str,female,46,2,1,0.118,EtOH,24_hrs,99,117,Model,8
22/05/2023,157,Alc+Str,female,46,2,1,0.166,EtOH,24_hrs,120,109,Model,8
22/05/2023,158,Str,female,46,2,1,0.16,EtOH,24_hrs,121,103,Model,8
22/05/2023,159,Alc+Str,female,46,2,1,0.118,EtOH,24_hrs,117,84,Model,8
22/05/2023,160,Alc+Str,female,46,2,1,0.121,EtOH,24_hrs,116,111,Model,8
22/05/2023,161,Alc+Str,female,46,2,1,0.16,EtOH,24_hrs,120,124,Model,8
22/05/2023,162,Alc+Str,female,46,2,1,0.174,EtOH,24_hrs,110,125,Model,8
22/05/2023,164,Alc+Str,female,46,2,1,0.167,EtOH,24_hrs,118,99,Model,8
22/05/2023,166,Alc+Str,female,46,2,1,0.159,EtOH,24_hrs,117,125,Model,8
22/05/2023,167,Alc+Str,female,46,2,1,0.162,EtOH,24_hrs,114,126,Model,8
22/05/2023,168,Alc+Str,male,46,2,1,0.224,EtOH,24_hrs,105,99,Model,8
22/05/2023,169,Str,male,46,2,1,0.19,EtOH,24_hrs,124,80,Model,8
22/05/2023,170,Alc+Str,male,46,2,1,0.217,EtOH,24_hrs,115,88,Model,8
22/05/2023,172,Alc+Str,male,46,2,1,0.208,EtOH,24_hrs,116,110,Model,8
22/05/2023,173,Alc+Str,male,46,2,1,0.15,EtOH,24_hrs,123,61,Model,8
22/05/2023,174,Alc+Str,male,46,2,1,0.201,EtOH,24_hrs,109,107,Model,8
22/05/2023,175,Str,male,46,2,1,0.176,EtOH,24_hrs,94,119,Model,8
22/05/2023,176,Alc+Str,male,46,2,1,0.182,EtOH,24_hrs,119,80,Model,8
22/05/2023,177,Alc+Str,male,46,2,1,0.198,EtOH,24_hrs,104,88,Model,8
23/05/2023,156,Alc+Str,female,47,2,1,0.166,H2O,start,126,124,Model,8
23/05/2023,157,Alc+Str,female,47,2,1,0.17,H2O,start,125,122,Model,8
23/05/2023,158,Str,female,47,2,1,0.163,H2O,start,123,121,Model,8
23/05/2023,159,Alc+Str,female,47,2,1,0.136,H2O,start,125,123,Model,8
23/05/2023,160,Alc+Str,female,47,2,1,0.128,H2O,start,124,123,Model,8
23/05/2023,161,Alc+Str,female,47,2,1,0.15,H2O,start,124,123,Model,8
23/05/2023,162,Alc+Str,female,47,2,1,0.17,H2O,start,124,123,Model,8
23/05/2023,164,Alc+Str,female,47,2,1,0.166,H2O,start,123,122,Model,8
23/05/2023,166,Alc+Str,female,47,2,1,0.148,H2O,start,124,121,Model,8
23/05/2023,167,Alc+Str,female,47,2,1,0.15,H2O,start,123,123,Model,8
23/05/2023,168,Alc+Str,male,47,2,1,0.229,H2O,start,124,121,Model,8
23/05/2023,169,Str,male,47,2,1,0.192,H2O,start,121,121,Model,8
23/05/2023,170,Alc+Str,male,47,2,1,0.218,H2O,start,122,121,Model,8
23/05/2023,172,Alc+Str,male,47,2,1,0.204,H2O,start,122,122,Model,8
