d1,d2,d3,x,y,z,value,label
36,44,31,-3.69230790436268,-7.45988315343857,-2.04741385579109,5.954,left Granule Cell Level of the Cerebellum_left
96,72,49,6.15384624898434,-2.86918562650681,0.900861978530884,4.575,right Cornu Ammonis 1
98,100,42,6.48205138742924,1.72151190042496,-0.245689734816551,4.55,right Dysgranular Insular Cortex
81,123,44,3.69230771064758,5.49244201183319,0.0818964689970016,4.484,right PreLimbic System
37,127,55,-3.52820533514023,6.14825594425201,1.88362058997154,4.393,left Agranular Insular Cortex_left
28,70,50,-5.00512845814228,-3.19709259271622,1.06465508043766,4.289,left Cornu Ammonis 1_left
104,43,31,7.46666680276394,-7.62383663654327,-2.04741385579109,4.208,right Granule Cell Level of the Cerebellum
43,90,55,-2.54358991980553,0.0819770693778992,1.88362058997154,4.167,left Thalamus_left 
74,94,52,2.54358972609043,0.737791001796722,1.39224128425121,3.874,right Thalamus 
78,25,42,3.20000000298023,-10.574999332428,-0.245689734816551,3.848,right Molecular Layer of the Cerebellum
46,154,56,-2.05128221213818,10.5749999880791,2.04741369187832,3.517,left Olfactory Bulb_left
81,53,30,3.69230771064758,-5.98430180549622,-2.21120695769787,3.348,right Middle Cerebellar Peduncle 
57,46,49,-0.246153950691223,-7.13197618722916,0.900861978530884,3.265,left Molecular Layer of the Cerebellum_left
34,69,31,-4.02051304280758,-3.36104607582092,-2.04741385579109,-5.648,left Medial Entorhinal Cortex_left
49,125,70,-1.55897450447083,5.8203489780426,4.34051711857319,-4.627,left Primary Motor Cortex_left
82,71,29,3.85641027987003,-3.03313910961151,-2.37500005960464,-4.588,right Subiculum
60,149,56,0.246153756976128,9.75523257255554,2.04741369187832,-4.314,right Olfactory Bulb
51,15,49,-1.23076936602592,-12.214534163475,0.900861978530884,-4.122,left Molecular Layer of the Cerebellum_left
84,42,65,4.18461541831493,-7.78779011964798,3.52155160903931,-4.092,right Molecular Layer of the Cerebellum
67,67,66,1.39487174153328,-3.68895304203033,3.68534471094608,-3.9,right Retrosplenial Granular Cortex Part B
31,94,42,-4.51282075047493,0.737791001796722,-0.245689734816551,-3.851,left Striatum_left
105,64,37,7.63076937198639,-4.18081349134445,-1.06465524435043,-3.583,right Lateral Entorhinal Cortex
63,101,34,0.738461464643478,1.88546538352966,-1.55603455007076,-3.527,right Hypothalamic Region
52,42,68,-1.06666679680347,-7.78779011964798,4.01293091475964,-3.414,left Molecular Layer of the Cerebellum_left
71,97,80,2.05128201842308,1.22965145111084,5.97844813764095,-3.263,right Primary Motor Cortex
49,167,70,-1.55897450447083,12.7063952684402,4.34051711857319,-3.172,left Glomerular Layer of the Olfactory Bulb_left
