d1,d2,d3,x,y,z,value,label
57,152,68,-0.246153950691223,10.2470930218697,4.01293091475964,5.027,left Olfactory Bulb_left
33,34,43,-4.18461561203003,-9.09941798448563,-0.0818966329097748,5.014,left Molecular Layer of the Cerebellum_left
91,37,41,5.33333340287209,-8.60755753517151,-0.409482836723328,4.665,right Molecular Layer of the Cerebellum
20,68,29,-6.31794901192188,-3.52499955892563,-2.37500005960464,4.56,left Lateral Entorhinal Cortex_left
64,52,45,0.902564033865929,-6.14825528860092,0.245689570903778,3.922,right Molecular Layer of the Cerebellum
53,115,49,-0.902564227581024,4.18081414699554,0.900861978530884,3.88,left Striatum_left
60,76,27,0.246153756976128,-2.21337169408798,-2.7025862634182,3.772,right Hypothalamic Region
55,15,41,-0.574359089136124,-12.214534163475,-0.409482836723328,3.381,left Molecular Layer of the Cerebellum_left
66,69,68,1.23076917231083,-3.36104607582092,4.01293091475964,3.354,right Retrosplenial Granular Cortex Part B
78,83,45,3.20000000298023,-1.06569731235504,0.245689570903778,3.169,right Thalamus 
33,113,52,-4.18461561203003,3.85290718078613,1.39224128425121,-6.38,left Dysgranular Insular Cortex_left
58,56,74,-0.0820513814687729,-5.4924413561821,4.99568952620029,-5.516,left Retosplenial Dysgranular Cortex_left
66,125,52,1.23076917231083,5.8203489780426,1.39224128425121,-5.013,right PreLimbic System
49,93,26,-1.55897450447083,0.573837518692017,-2.86637936532497,-4.604,left Hypothalamic Region_left
78,103,56,3.20000000298023,2.21337234973907,2.04741369187832,-4.542,right Striatum
45,68,52,-2.21538478136063,-3.52499955892563,1.39224128425121,-4.534,left Dentate Gyrus_left
90,69,60,5.16923083364964,-3.36104607582092,2.70258609950542,-4.274,right Cornu Ammonis 1
29,40,35,-4.84102588891983,-8.11569708585739,-1.39224144816399,-4.052,left Granule Cell Level of the Cerebellum_left
71,73,33,2.05128201842308,-2.7052321434021,-1.71982765197754,-3.816,right Substantia Nigra
37,46,64,-3.52820533514023,-7.13197618722916,3.35775850713253,-3.742,left Presubiculum_left
49,170,63,-1.55897450447083,13.1982557177544,3.19396540522575,-3.561,left Glomerular Layer of the Olfactory Bulb_left
95,82,35,5.98974367976189,-1.22965079545975,-1.39224144816399,-3.514,right Lateral Entorhinal Cortex
59,34,63,0.0820511877536774,-9.09941798448563,3.19396540522575,-3.404,left Molecular Layer of the Cerebellum_left
46,86,76,-2.05128221213818,-0.573836863040924,5.32327573001385,-3.387,left Primary Motor Cortex_left
100,41,27,6.81025652587414,-7.95174360275269,-2.7025862634182,-3.2,right Granule Cell Level of the Cerebellum
80,104,26,3.52820514142513,2.37732583284378,-2.86637936532497,-3.178,right Entorhinal Cortex
21,69,43,-6.15384644269943,-3.36104607582092,-0.0818966329097748,-3.038,left Lateral Entorhinal Cortex_left
