d1,d2,d3,x,y,z,value,label,label_clean,Model,ROI_model
43,87,58,-2.54358992,-0.40988338,2.374999896,5.599,left Dentate Gyrus_left,left_dentate_gyrus_left,LMod3_Alc,left_dentate_gyrus_left_LMod3_Alc
88,56,42,4.841025695,-5.492441356,-0.245689735,5.097,right Perirhinal Area 36,right_perirhinal_area_36,LMod3_Alc,right_perirhinal_area_36_LMod3_Alc
35,42,29,-3.856410474,-7.78779012,-2.37500006,5.01,left Granule Cell Level of the Cerebellum_left,left_granule_cell_level_of_the_cerebellum_left,LMod3_Alc,left_granule_cell_level_of_the_cerebellum_left_LMod3_Alc
45,150,59,-2.215384781,9.919186056,2.538792998,4.727,left Glomerular Layer of the Olfactory Bulb_left,left_glomerular_layer_of_the_olfactory_bulb_left,LMod3_Alc,left_glomerular_layer_of_the_olfactory_bulb_left_LMod3_Alc
75,86,64,2.707692295,-0.573836863,3.357758507,4.411,right Cornu Ammonis 2,right_cornu_ammonis_2,LMod3_Alc,right_cornu_ammonis_2_LMod3_Alc
18,73,38,-6.64615415,-2.705232143,-0.900862142,4.201,left Lateral Entorhinal Cortex external part_left,left_lateral_entorhinal_cortex_external_part_left,LMod3_Alc,left_lateral_entorhinal_cortex_external_part_left_LMod3_Alc
35,127,53,-3.856410474,6.148255944,1.556034386,4.123,left Agranular Insular Cortex_left,left_agranular_insular_cortex_left,LMod3_Alc,left_agranular_insular_cortex_left_LMod3_Alc
64,115,47,0.902564034,4.180814147,0.573275775,3.948,right Striatum,right_striatum,LMod3_Alc,right_striatum_LMod3_Alc
78,24,38,3.200000003,-10.73895282,-0.900862142,3.615,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum,LMod3_Alc,right_molecular_layer_of_the_cerebellum_LMod3_Alc
52,36,57,-1.066666797,-8.771511018,2.211206794,3.302,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left,LMod3_Alc,left_molecular_layer_of_the_cerebellum_left_LMod3_Alc
102,91,42,7.138461664,0.245930552,-0.245689735,3.22,right Dysgranular Insular Cortex,right_dysgranular_insular_cortex,LMod3_Alc,right_dysgranular_insular_cortex_LMod3_Alc
66,93,21,1.230769172,0.573837519,-3.685344875,-4.901,right Hypothalamic Region,right_hypothalamic_region,LMod3_Alc,right_hypothalamic_region_LMod3_Alc
76,65,34,2.871794865,-4.016860008,-1.55603455,-4.848,right Substantia Nigra,right_substantia_nigra,LMod3_Alc,right_substantia_nigra_LMod3_Alc
