"RID","Group","Batch","Sex"
"sub-001","Ctrl+Stim","B1","female"
"sub-002","Alc+Stim","B1","female"
"sub-003","Ctrl","B1","female"
"sub-004","Alc","B1","female"
"sub-005","Ctrl","B1","female"
"sub-006","Alc","B1","female"
"sub-007","Alc","B1","female"
"sub-008","Alc","B1","female"
"sub-009","Alc","B1","male"
"sub-010","NA","B1","male"
"sub-011","NA","B1","male"
"sub-012","Alc+Stim","B1","male"
"sub-013","Alc","B1","male"
"sub-014","Alc","B1","male"
"sub-015","Ctrl","B1","male"
"sub-016","Ctrl+Stim","B1","male"
"sub-017","Ctrl+Stim","B2","female"
"sub-018","Alc+Stim","B2","female"
"sub-019","Alc","B2","female"
"sub-020","Alc","B2","female"
"sub-021","Ctrl","B2","female"
"sub-022","Alc","B2","female"
"sub-023","Ctrl","B2","female"
"sub-024","Alc","B2","female"
"sub-025","Alc+Stim","B2","male"
"sub-026","Ctrl+Stim","B2","male"
"sub-027","NA","B2","male"
"sub-028","Ctrl","B2","male"
"sub-029","Alc","B2","male"
"sub-030","Alc","B2","male"
"sub-031","Ctrl","B2","male"
"sub-032","Alc","B2","male"
"sub-033","Alc+Stim","B3","female"
"sub-034","Ctrl","B3","female"
"sub-035","Alc","B3","female"
"sub-036","Alc","B3","female"
"sub-037","Alc","B3","female"
"sub-038","Alc","B3","female"
"sub-039","Ctrl+Stim","B3","female"
"sub-040","Ctrl","B3","female"
"sub-041","Alc","B3","male"
"sub-042","Alc","B3","male"
"sub-043","Alc","B3","male"
"sub-044","Ctrl","B3","male"
"sub-045","Alc+Stim","B3","male"
"sub-046","Ctrl","B3","male"
"sub-047","Alc","B3","male"
"sub-048","Ctrl+Stim","B3","male"
"sub-049","Ctrl","B3","male"
"sub-050","Alc","B3","male"
"sub-051","Alc","B3","male"
"sub-052","Str","B4","female"
"sub-053","Alc","B4","female"
"sub-054","Ctrl","B4","female"
"sub-055","NA","B4","female"
"sub-056","Alc","B4","female"
"sub-057","Str","B4","female"
"sub-058","Alc+Str","B4","female"
"sub-059","Ctrl","B4","female"
"sub-060","NA","B4","female"
"sub-061","Alc","B4","male"
"sub-062","Alc+Str","B4","male"
"sub-063","Ctrl","B4","male"
"sub-064","Ctrl","B4","male"
"sub-065","Str","B4","male"
"sub-066","Alc+Str","B4","male"
"sub-067","Alc","B4","male"
"sub-068","Alc+Str","B5","female"
"sub-069","Alc","B5","female"
"sub-070","Ctrl","B5","female"
"sub-071","Alc+Str","B5","female"
"sub-072","Str","B5","female"
"sub-073","NA","B5","female"
"sub-074","Str","B5","female"
"sub-075","Ctrl","B5","female"
"sub-076","Alc","B5","female"
"sub-077","Alc","B5","female"
"sub-078","Alc+Str","B5","male"
"sub-079","Str","B5","male"
"sub-080","NA","B5","male"
"sub-081","Alc+Str","B5","male"
"sub-082","NA","B5","male"
"sub-083","Str","B5","male"
"sub-084","Ctrl","B5","male"
"sub-085","Alc","B5","male"
"sub-086","Alc+Str","B5","male"
"sub-087","Ctrl","B5","male"
"sub-088","Alc","B6","female"
"sub-089","Ctrl","B6","female"
"sub-090","Ctrl","B6","female"
"sub-091","Ctrl+Ctrl","B6","female"
"sub-092","Ctrl","B6","female"
"sub-093","Ctrl","B6","female"
"sub-094","Alc","B6","female"
"sub-095","Ctrl+Ctrl","B6","female"
"sub-096","Ctrl+Ctrl","B6","female"
"sub-097","Alc","B6","female"
"sub-098","Ctrl+Ctrl","B6","female"
"sub-099","Alc","B6","female"
"sub-100","Ctrl+Ctrl","B6","male"
"sub-101","Alc","B6","male"
"sub-102","Ctrl","B6","male"
"sub-103","Alc","B6","male"
"sub-104","Ctrl+Ctrl","B6","male"
"sub-105","Ctrl","B6","male"
"sub-106","Ctrl","B6","male"
"sub-107","Alc","B6","male"
"sub-108","Ctrl+Ctrl","B6","male"
"sub-109","Ctrl","B6","male"
"sub-110","Alc","B6","male"
"sub-111","Ctrl+Ctrl","B6","male"
"sub-112","Ctrl","B6","female"
"sub-113","Alc","B6","female"
"sub-114","NA","B6","NA"
"sub-115","Alc","B6","female"
"sub-116","Ctrl","B6","female"
"sub-117","NA","B6","NA"
"sub-118","Alc","B6","female"
"sub-119","Str","B6","female"
"sub-120","Alc","B6","female"
"sub-121","Ctrl","B6","female"
"sub-122","Alc","B6","female"
"sub-123","Str","B6","female"
"sub-124","Alc","B6","male"
"sub-125","Alc","B6","male"
"sub-126","Ctrl","B6","male"
"sub-127","Ctrl","B6","male"
"sub-128","Str","B6","male"
"sub-129","Ctrl","B6","male"
"sub-130","Alc","B6","male"
"sub-131","Ctrl","B6","male"
"sub-132","Alc","B6","male"
"sub-133","Alc","B6","male"
"sub-134","Str","B6","male"
"sub-135","Alc","B6","male"
