RID,Group,Sex,Batch
sub-119,Str,female,B6
sub-144,Str,female,B7
sub-145,Str,female,B7
sub-147,Ctrl,male,B7
sub-148,Str,male,B7
sub-015,Ctrl,male,B1
sub-151,Str,male,B7
sub-152,Alc+Str,male,B7
sub-153,Alc+Str,male,B7
sub-154,Str,male,B7
sub-155,Alc+Str,male,B7
sub-123,Str,female,B6
sub-156,Alc+Str,female,B8
sub-157,Alc+Str,female,B8
sub-158,Str,female,B8
sub-159,Alc+Str,female,B8
sub-160,Alc+Str,female,B8
sub-161,Alc+Str,female,B8
sub-162,Alc+Str,female,B8
sub-164,Alc+Str,female,B8
sub-166,Alc+Str,female,B8
sub-167,Alc+Str,female,B8
sub-124,Alc,male,B6
sub-168,Alc+Str,male,B8
sub-169,Str,male,B8
sub-170,Alc+Str,male,B8
sub-172,Alc+Str,male,B8
sub-173,Alc+Str,male,B8
sub-174,Alc+Str,male,B8
sub-175,Str,male,B8
sub-176,Alc+Str,male,B8
sub-177,Alc+Str,male,B8
sub-019,Alc,female,B2
sub-128,Str,male,B6
sub-020,Alc,female,B2
sub-021,Ctrl,female,B2
sub-022,Alc,female,B2
sub-023,Ctrl,female,B2
sub-024,Alc,female,B2
sub-029,Alc,male,B2
sub-030,Alc,male,B2
sub-031,Ctrl,male,B2
sub-032,Alc,male,B2
sub-013,Alc,male,B1
sub-034,Ctrl,female,B3
sub-035,Alc,female,B3
sub-036,Alc,female,B3
sub-037,Alc,female,B3
sub-038,Alc,female,B3
sub-040,Ctrl,female,B3
sub-041,Alc,male,B3
sub-042,Alc,male,B3
sub-043,Alc,male,B3
sub-044,Ctrl,male,B3
sub-134,Str,male,B6
sub-046,Ctrl,male,B3
sub-047,Alc,male,B3
sub-049,Ctrl,male,B3
sub-050,Alc,male,B3
sub-051,Alc,male,B3
sub-053,Alc,female,B4
sub-054,Ctrl,female,B4
sub-056,Alc,female,B4
sub-057,Str,female,B4
sub-135,Alc,male,B6
sub-058,Alc+Str,female,B4
sub-059,Ctrl,female,B4
sub-061,Alc,male,B4
sub-062,Alc+Str,male,B4
sub-063,Ctrl,male,B4
sub-064,Ctrl,male,B4
sub-065,Str,male,B4
sub-066,Alc+Str,male,B4
sub-068,Alc+Str,female,B5
sub-137,Str,female,B7
sub-069,Alc,female,B5
sub-070,Ctrl,female,B5
sub-071,Alc+Str,female,B5
sub-072,Str,female,B5
sub-074,Str,female,B5
sub-075,Ctrl,female,B5
sub-076,Alc,female,B5
sub-077,Alc,female,B5
sub-078,Alc+Str,male,B5
sub-079,Str,male,B5
sub-139,Alc+Str,female,B7
sub-081,Alc+Str,male,B5
sub-083,Str,male,B5
sub-084,Ctrl,male,B5
sub-085,Alc,male,B5
sub-086,Alc+Str,male,B5
sub-087,Ctrl,male,B5
sub-141,Alc+Str,female,B7
sub-028,Ctrl,male,B2
sub-052,Str,female,B4
sub-067,Alc,male,B4
