Region,Contrast,,Region (SIGMA atlas),Hemisphere,"Coordinates (x, y, z)",Effect,t-value
Association Cortex,EtOH+/CRS+ , EtOH-/CRS-,Frontal Association Cortex,right,"2.05,7.62,3.69",Decrease,-5.193
Association Cortex,EtOH+/CRS+ , EtOH-/CRS-,Frontal Association Cortex,left,"-2.05,7.46,3.85",Decrease,-2.854
Cerebellum,EtOH+/CRS+ , EtOH-/CRS-,Granule Cell Level of the Cerebellum,left,"-3.53,-7.3,-1.88",Increase,6.272
Cerebellum,EtOH+/CRS+ , EtOH-/CRS-,Molecular Layer of the Cerebellum,right,"3.36,-10.57,-0.41",Increase,4.829
Cerebellum,EtOH+/CRS+ , EtOH-/CRS-,Granule Cell Level of the Cerebellum,left,"-2.05,-8.77,2.37",Increase,3.275
Cerebellum,EtOH+/CRS+ , EtOH-/CRS-,Molecular Layer of the Cerebellum,right,"1.23,-10.57,4.34",Increase,2.95
Cerebellum,EtOH+/CRS+ , EtOH-/CRS-,Molecular Layer of the Cerebellum,right,"2.54,-7.46,3.85",Decrease,-5.93
Cerebellum,EtOH+/CRS+ , EtOH-/CRS-,Molecular Layer of the Cerebellum,left,"-1.56,-12.05,1.23",Decrease,-4.034
Cerebellum,EtOH+/CRS+ , EtOH-/CRS-,Molecular Layer of the Cerebellum,right,"4.51,-11.56,0.41",Decrease,-3.617
Cerebellum,EtOH+/CRS+ , EtOH-/CRS-,Molecular Layer of the Cerebellum,right,"5.99,-7.46,1.72",Decrease,-2.781
Cerebellum,EtOH+/CRS+ , EtOH-/CRS+,Molecular Layer of the Cerebellum,left,"-4.18,-9.1,-0.08",Increase,5.014
Cerebellum,EtOH+/CRS+ , EtOH-/CRS+,Molecular Layer of the Cerebellum,right,"5.33,-8.61,-0.41",Increase,4.665
Cerebellum,EtOH+/CRS+ , EtOH-/CRS+,Molecular Layer of the Cerebellum,right,"0.9,-6.15,0.25",Increase,3.922
Cerebellum,EtOH+/CRS+ , EtOH-/CRS+,Molecular Layer of the Cerebellum,left,"-0.57,-12.21,-0.41",Increase,3.381
Cerebellum,EtOH+/CRS+ , EtOH-/CRS+,Granule Cell Level of the Cerebellum,left,"-4.84,-8.12,-1.39",Decrease,-4.052
Cerebellum,EtOH+/CRS+ , EtOH-/CRS+,Molecular Layer of the Cerebellum,left,"0.08,-9.1,3.19",Decrease,-3.404
Cerebellum,EtOH+/CRS+ , EtOH-/CRS+,Granule Cell Level of the Cerebellum,right,"6.81,-7.95,-2.7",Decrease,-3.2
Cerebellum,EtOH+/CRS+ , EtOH+/CRS-,Molecular Layer of the Cerebellum,left,"-4.51,-8.44,2.05",Increase,6.147
Cerebellum,EtOH+/CRS+ , EtOH+/CRS-,Granule Cell Level of the Cerebellum,right,"4.18,-6.97,-0.9",Increase,5.592
Cerebellum,EtOH+/CRS+ , EtOH+/CRS-,Middle Cerebellar Peduncle ,left,"-2.87,-6.31,-2.05",Increase,4.85
Cerebellum,EtOH+/CRS+ , EtOH+/CRS-,Molecular Layer of the Cerebellum,right,"4.51,-9.26,3.36",Increase,4.691
Cerebellum,EtOH+/CRS+ , EtOH+/CRS-,Molecular Layer of the Cerebellum,right,"1.07,-11.39,1.56",Increase,3.488
