contrast,Phase,Sex,Session,estimate,SE,z.ratio,p.value
Alc - Str,Model,female,13,0.03,0.01,3.11,0.01
Ctrl - Str,Model,female,14,0.03,0.01,2.6,0.02
Alc - Str,Model,female,14,0.05,0.01,4.25,0
Str - (Alc+Str),Model,female,14,-0.03,0.01,-2.8,0.02
Alc - Str,Model,female,15,0.03,0.01,3.18,0.01
Alc - Str,Model,female,16,0.03,0.01,3.05,0.01
Alc - Str,Model,female,17,0.03,0.01,3.25,0.01
Alc - Str,Model,female,18,0.04,0.01,3.64,0
Alc - Str,Model,female,19,0.03,0.01,2.92,0.02
Alc - (Alc+Str),Model,female,19,0.03,0.01,2.54,0.03
Alc - Str,Model,female,20,0.04,0.01,3.35,0
Alc - (Alc+Str),Model,female,20,0.03,0.01,2.46,0.04
Alc - Str,Model,female,8,0.03,0.01,2.83,0.03
Alc - Str,Relapse,female,1,0.03,0.01,2.97,0.01
Alc - (Alc+Str),Relapse,female,1,0.03,0.01,2.87,0.01
Alc - Str,Relapse,female,10,0.04,0.01,3.6,0
Alc - (Alc+Str),Relapse,female,10,0.03,0.01,2.81,0.02
Alc - Str,Relapse,female,11,0.04,0.01,3.25,0.01
Alc - (Alc+Str),Relapse,female,11,0.03,0.01,2.62,0.03
Alc - Str,Relapse,female,12,0.04,0.01,3.13,0.01
Alc - (Alc+Str),Relapse,female,12,0.03,0.01,2.44,0.04
Alc - Str,Relapse,female,13,0.04,0.01,3.54,0
Alc - Str,Relapse,female,14,0.04,0.01,3.07,0.01
Alc - Str,Relapse,female,15,0.03,0.01,2.66,0.05
Ctrl - Alc,Relapse,female,2,-0.02,0.01,-2.24,0.05
Alc - Str,Relapse,female,2,0.03,0.01,2.94,0.02
Alc - (Alc+Str),Relapse,female,2,0.03,0.01,2.39,0.05
Ctrl - Alc,Relapse,female,4,-0.03,0.01,-2.43,0.03
Alc - Str,Relapse,female,4,0.03,0.01,3.11,0.01
Alc - (Alc+Str),Relapse,female,4,0.03,0.01,2.42,0.03
Alc - Str,Relapse,female,5,0.04,0.01,3.35,0
Alc - (Alc+Str),Relapse,female,5,0.03,0.01,2.63,0.03
Alc - Str,Relapse,female,6,0.03,0.01,3.06,0.01
Alc - (Alc+Str),Relapse,female,6,0.03,0.01,2.72,0.02
Alc - Str,Relapse,female,7,0.04,0.01,3.39,0
Alc - (Alc+Str),Relapse,female,7,0.03,0.01,3.18,0
Alc - Str,Relapse,female,8,0.03,0.01,3.12,0.01
Alc - (Alc+Str),Relapse,female,8,0.03,0.01,2.81,0.02
Ctrl - Alc,Relapse,female,9,-0.03,0.01,-2.39,0.03
Alc - Str,Relapse,female,9,0.03,0.01,2.75,0.02
Alc - (Alc+Str),Relapse,female,9,0.03,0.01,2.73,0.02
Ctrl - (Alc+Str),Model,male,11,0.03,0.01,2.86,0.03
Alc - (Alc+Str),Model,male,11,0.03,0.01,2.59,0.03
Ctrl - (Alc+Str),Model,male,12,0.03,0.01,2.81,0.01
Alc - (Alc+Str),Model,male,12,0.04,0.01,3.63,0
Ctrl - (Alc+Str),Model,male,14,0.03,0.01,2.96,0.01
Alc - (Alc+Str),Model,male,14,0.03,0.01,3.1,0.01
Ctrl - (Alc+Str),Model,male,15,0.03,0.01,2.75,0.02
Alc - Str,Model,male,15,0.03,0.01,2.48,0.03
Alc - (Alc+Str),Model,male,15,0.03,0.01,3.17,0.01
Ctrl - Str,Model,male,16,0.02,0.01,2.2,0.04
Ctrl - (Alc+Str),Model,male,16,0.03,0.01,2.8,0.02
Alc - Str,Model,male,16,0.03,0.01,2.62,0.02
Alc - (Alc+Str),Model,male,16,0.03,0.01,3.24,0.01
Ctrl - (Alc+Str),Model,male,17,0.05,0.01,4.59,0
Alc - (Alc+Str),Model,male,17,0.05,0.01,4.51,0
Str - (Alc+Str),Model,male,17,0.03,0.01,2.73,0.01
Ctrl - (Alc+Str),Model,male,18,0.03,0.01,3.26,0
Alc - Str,Model,male,18,0.03,0.01,2.37,0.04
Alc - (Alc+Str),Model,male,18,0.04,0.01,3.83,0
Ctrl - Str,Model,male,19,0.03,0.01,2.62,0.01
Ctrl - (Alc+Str),Model,male,19,0.03,0.01,3.16,0
Alc - Str,Model,male,19,0.03,0.01,3.17,0
Alc - (Alc+Str),Model,male,19,0.04,0.01,3.74,0
Ctrl - Str,Model,male,20,0.03,0.01,2.77,0.01
Ctrl - (Alc+Str),Model,male,20,0.03,0.01,3.06,0
Alc - Str,Model,male,20,0.04,0.01,3.32,0
Alc - (Alc+Str),Model,male,20,0.04,0.01,3.64,0
Ctrl - (Alc+Str),Model,male,9,0.03,0.01,2.42,0.03
Alc - Str,Model,male,9,0.03,0.01,2.76,0.02
Alc - (Alc+Str),Model,male,9,0.03,0.01,3.17,0.01
Ctrl - (Alc+Str),Relapse,male,1,0.03,0.01,2.66,0.02
Alc - Str,Relapse,male,1,0.02,0.01,2.3,0.04
Alc - (Alc+Str),Relapse,male,1,0.03,0.01,3.02,0.01
Ctrl - Alc,Relapse,male,10,0.03,0.01,3.32,0
Ctrl - Str,Relapse,male,10,0.05,0.01,4.16,0
Ctrl - (Alc+Str),Relapse,male,10,0.03,0.01,3.07,0
Ctrl - Str,Relapse,male,11,0.05,0.01,4.07,0
Ctrl - (Alc+Str),Relapse,male,11,0.04,0.01,3.59,0
Alc - Str,Relapse,male,11,0.03,0.01,2.63,0.02
Ctrl - Str,Relapse,male,12,0.05,0.01,4.14,0
Ctrl - (Alc+Str),Relapse,male,12,0.04,0.01,3.76,0
Alc - Str,Relapse,male,12,0.03,0.01,2.88,0.01
Alc - (Alc+Str),Relapse,male,12,0.03,0.01,2.44,0.02
Ctrl - Str,Relapse,male,13,0.05,0.01,4.16,0
Ctrl - (Alc+Str),Relapse,male,13,0.04,0.01,3.45,0
Alc - Str,Relapse,male,13,0.03,0.01,2.78,0.01
Ctrl - Str,Relapse,male,14,0.05,0.01,4.36,0
Ctrl - (Alc+Str),Relapse,male,14,0.04,0.01,3.46,0
Alc - Str,Relapse,male,14,0.04,0.01,3.28,0
