Subj Ses Group Intake Batch Sex Age InputFile
sub-101 ses-T1 Alc High B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-101/sub-101_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-103 ses-T1 Alc High B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-103/sub-103_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-107 ses-T1 Alc High B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-107/sub-107_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-110 ses-T1 Alc Low B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-110/sub-110_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-113 ses-T1 Alc High B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-113/sub-113_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-115 ses-T1 Alc Low B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-115/sub-115_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-118 ses-T1 Alc Low B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-118/sub-118_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-120 ses-T1 Alc Low B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-120/sub-120_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-122 ses-T1 Alc Low B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-122/sub-122_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-124 ses-T1 Alc High B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-124/sub-124_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-125 ses-T1 Alc High B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-125/sub-125_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-12 ses-T1 Alc Low B1 male 46 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-12/sub-12_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-130 ses-T1 Alc High B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-130/sub-130_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-132 ses-T1 Alc High B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-132/sub-132_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-133 ses-T1 Alc Low B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-133/sub-133_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-135 ses-T1 Alc High B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-135/sub-135_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-13 ses-T1 Alc High B1 male 46 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-13/sub-13_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
